lat_ctr,lng_ctr,lat_pt,lng_pt,StopName,UsedByRoute
48.942447,24.696546,48.942448,24.696547,"магагазин ""Барбарис""",3
48.940593,24.695096,48.940595,24.695096,"Крамниця ""Сюрприз""",3
48.937924,24.692515,48.937932,24.692517,на вимогу,3
48.940297,24.688053,48.940315,24.688076,Обласна лікарня,3
48.937819,24.69233,48.937824,24.692323,на вимогу,3
48.939933,24.69529,48.939935,24.695283,вулиця Витвицького,3
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",3
48.93991,24.701382,48.93991,24.701382,вулиця Ю. Целевича,3
48.934045,24.706639,48.934045,24.706639,Музична школа,3
48.931193,24.708088,48.931193,24.708086,Швейна фабрика,3
48.92714,24.709515,48.92714,24.709515,вулиця Військових Ветеранів,3
48.92582,24.713051,48.92582,24.713051,Ринок,3
48.926208,24.716751,48.926202,24.716749,КРОК,3
48.924573,24.723276,48.924567,24.723274,Вокзал (в бік ЄП),3
48.920643,24.71945,48.920643,24.71945,вулиця Б. Лепкого,3
48.917823,24.722793,48.917823,24.722793,"кінотеатр ""Космос""",3
48.916028,24.734465,48.916032,24.734461,Школа №15,3
48.91934,24.742797,48.91934,24.742797,вулиця Кисілевської,3
48.924385,24.743307,48.924383,24.74331,вулиця Хоткевича,3
48.928609,24.74318,48.928609,24.743178,вулиця Івасюка,3
48.932756,24.74301,48.932756,24.74301,"ТРЦ ""Арсен"" (вул. Івасюка - Івана Павла ІІ)",3
48.93628,24.742415,48.93628,24.742415,вулиця В. Стуса,3
48.939508,24.738996,48.939507,24.738992,вулиця Вовчинецька,3
48.92582,24.713051,48.92582,24.713051,Ринок,4
48.928853,24.713552,48.928853,24.713552,вулиця Василіянок,4
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",4
48.940222,24.701047,48.940222,24.701047,вулиця Целевича,4
48.943246,24.696394,48.943245,24.69639,вулиця Пасічна,4
48.94864,24.696203,48.94864,24.696203,Радіозавод - вулиця Хіміків,4
48.956675,24.70483,48.956675,24.70483,селище Угринів,4
48.961092,24.703829,48.961092,24.703829,Шиноремонтний завод,4
48.980113,24.70588,48.980113,24.70588,Цементно-шиферний комбінат,4
48.988071,24.708578,48.988071,24.708578,селище Ямниця,4
48.992317,24.707713,48.992317,24.707713,селище Ямниця (церква),4
49.004607,24.70367,49.004607,24.70367,"Фірма ""Барва""",4
48.992054,24.707856,48.992054,24.707856,селище Ямниця (церква - в місто),4
48.988134,24.708493,48.988134,24.708493,селище Ямниця,4
48.980005,24.705758,48.980005,24.705758,Цементно-шиферний комбінат,4
48.960925,24.703715,48.960925,24.703715,Шиномонтажний завод,4
48.956361,24.704754,48.956361,24.704754,селище Угринів (в місто),4
48.948878,24.695928,48.948878,24.695928,Радіозавод - вулиця Хіміків,4
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",4
48.93991,24.701382,48.93991,24.701382,вулиця Ю. Целевича,4
