lat_ctr,lng_ctr,lat_pt,lng_pt,StopName
48.923666,24.737712,48.923664,24.737709,"магазин ""Кошик"""
48.916282,24.705979,48.916284,24.705982,Пологовий будинок
48.902358,24.746041,48.902351,24.746039,селище Микитинці
48.906488,24.754161,48.906488,24.754161,вулиця Гринишина
48.906542,24.753951,48.906546,24.753951,вулиця Грицишина
48.925515,24.716457,48.925516,24.71646,Управління статистики
48.926924,24.700757,48.926922,24.70075,вулиця Тичини
48.938293,24.73907,48.938285,24.739065,вулиця Івасюка
48.929406,24.709888,48.929406,24.709888,Парк воїнів ветеранів
48.928993,24.731159,48.928993,24.731159,вулиця Селянська
48.935314,24.747554,48.935311,24.747548,на вимогу
48.957549,24.750172,48.957554,24.750184,селище Вовчинець
48.929277,24.708118,48.929274,24.708118,"ТРЦ ""Панорама плаза"""
48.900476,24.724024,48.900467,24.724065,Меблева фабрика
48.887474,24.635696,48.887472,24.635694,селище Драгомирчани
48.889406,24.648986,48.889406,24.648986,селище Крихівці(в центр)
48.89282,24.655642,48.89282,24.655642,селище Крихівці - вулиця Липова (в центр)
48.894758,24.659435,48.894763,24.659426,селище Крихівці - вулиця Вишнева
48.899151,24.668009,48.899149,24.668015,селище Крихівці - Вивізна
48.900882,24.671421,48.900883,24.671421,селище Крихівці - центр
48.903738,24.67704,48.903738,24.67704,вулиця Крихівецька (в центр)
48.910055,24.689473,48.910055,24.689473,Коледж фізичного виховання (в центр)
48.920162,24.704347,48.920163,24.704347,вулиця Г. Мазепи - С. Стрільців 
48.90348,24.676331,48.903476,24.676328,вулиця Крихівецька
48.900455,24.670386,48.900454,24.670384,селище Крихівці
48.898674,24.666886,48.898674,24.666886,вулиця Межева
48.894644,24.659003,48.894642,24.659009,селище Крихівці - вулиця Вишнева
48.892704,24.655232,48.892704,24.655232,селище Крихівці - вулиця Липова
48.888992,24.647991,48.888992,24.647991,селище Крихівці
48.88746,24.636215,48.88746,24.636215,на вимогу
48.888257,24.633374,48.888257,24.633374,с. Драгомирчани
48.874086,24.660653,48.874092,24.660661,Міське кладовище
48.925122,24.764316,48.925123,24.764317,селище УГОРНИКИ
48.919891,24.760486,48.919888,24.76049,Сільська рада
48.916939,24.757509,48.916938,24.757508,Магазин
48.911988,24.764788,48.911988,24.764788,вулиця Тополина
48.911883,24.764935,48.911885,24.764933,вулиця Тополина
48.914879,24.697645,48.914879,24.697645,Центральна міська лікарня (в центр)
48.920181,24.699214,48.920179,24.699216,Південний бульвар
48.93249,24.733546,48.932491,24.733546,вулиця Пстрака
48.934689,24.754206,48.934689,24.754206,вулиця 24 серпня
48.933414,24.748956,48.933414,24.748956,вулиця В. Стуса
48.933263,24.745137,48.933263,24.745137,Вулиця І. Миколайчука
48.925864,24.722773,48.925864,24.722773,Залізничний вокзал
48.932911,24.749902,48.932911,24.749902,вулиця В. Стуса
48.933955,24.753865,48.933955,24.753865,вулиця 24 серпня
48.902468,24.718952,48.902469,24.718951,вулиця Дудаєва
48.911902,24.764933,48.911902,24.764933,магазин Зорепад
48.917423,24.76777,48.917423,24.76777,вулиця Ольги Рошкевич
48.925561,24.770051,48.925561,24.770051,ресторан Калина
48.931675,24.774132,48.931675,24.774132,вулиця Хмельницького
48.939349,24.771554,48.939349,24.771554,вулиця Стефаника
48.94495,24.773764,48.94495,24.773764,село Підлужжя
48.944256,24.772986,48.944256,24.772986,вулиця Мартовича
48.939254,24.771362,48.939254,24.771362,вулиця Стефаника
48.93189,24.773955,48.93189,24.773955,вулиця Хмельницького
48.925791,24.770012,48.925791,24.770012,ресторан Калина
48.917938,24.767613,48.917938,24.767613,вулиця Ольги Рошкевич
48.912004,24.7648,48.912004,24.7648,магазин Зорепад
48.922791,24.702016,48.922791,24.702016,вулиця  Південний бульвар
48.924993,24.695269,48.924993,24.695269,вул Ленкавського
48.926442,24.68774,48.926442,24.68774,вул Кармелюка
48.902463,24.75883,48.902463,24.75883,АТП
48.864263,24.713123,48.864263,24.713123,село Черніїв (вулиця Калинишевська)
48.858663,24.713442,48.858663,24.713442,село Черніїв (Сільська рада)
48.849114,24.706479,48.849101,24.706479,вулиця Надвірнянська
48.859132,24.713442,48.859132,24.713442,село Черніїв (Сільська рада)
48.864374,24.713086,48.864374,24.713086,село Черніїв (вулиця Калинишевська)
48.880328,24.734551,48.88032,24.734553,селище Хриплин
48.868236,24.686508,48.868236,24.686508,селище Чукалівка
48.86816,24.686533,48.86816,24.686533,селище Чукалівка
48.810011,24.724211,48.810011,24.724211,село Братківці
48.816373,24.686555,48.816373,24.686555,село Березівка
48.895644,24.754057,48.895644,24.754057,Автоливмаш
48.881611,24.769336,48.881611,24.769336,"СТ ""Магістраль"""
48.878565,24.791387,48.878567,24.791388,"ДБК ""Прогрес"""
48.880163,24.730055,48.880163,24.730055,село Хриплин
48.948853,24.695908,48.948853,24.695908,Радіозавод
48.947014,24.684209,48.947014,24.684209,вулиця І. Лятишевського
48.946443,24.657324,48.946443,24.657324,Дем’янів Лаз
48.947536,24.684894,48.947536,24.684894,вулиця І. Лятишевського
48.954437,24.674442,48.954437,24.674442,Укринів
48.966916,24.642152,48.966916,24.642152,Автобазар
48.953347,24.613365,48.953347,24.613365,с. Рибне (дачі)
48.966171,24.641472,48.966171,24.641472,Автобазар
48.954028,24.675307,48.954028,24.675307,Укринів
48.945159,24.691309,48.945159,24.691309,АС 2
48.95182,24.641565,48.95182,24.641565,"CТ ""Буровик"""
48.895118,24.802693,48.895118,24.802693,CТ Берізка
48.904207,24.839343,48.904207,24.839343,Тисмениця
48.90422,24.651293,48.904223,24.651297,СТ Кераміка
48.865106,24.678987,48.865106,24.678987,вулиця Січових Стрільців
48.838119,24.69023,48.838119,24.69023,СТ Червона Рута
48.910142,24.711051,48.910142,24.711051,вулиця Національної гвардії
48.914855,24.69747,48.914858,24.697485,Міська лікарня
48.890167,24.61673,48.890167,24.61673,на вимогу
